TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5,RearStairsFlr1 Thermal Zone,6040.475,6040.475,0.30191,-99996,-99996,,,
BaseVAVReheatCoil-24,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5,RearStorageFlr1 Thermal Zone,6043.738,6043.738,0.30207,-99996,-99996,,,
BaseVAVReheatCoil-28,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5,RestroomFlr1 Thermal Zone,6194.612,6194.612,0.30961,-99996,-99996,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-2,CorridorFlr2 Thermal Zone,17228.188,17228.188,0.86108,-99996,-99996,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,2997.575,2997.575,0.14982,-99996,-99996,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,1927.462,1927.462,0.09634,-99996,-99996,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,3634.85,3634.85,0.18167,-99996,-99996,,,
BaseVAVReheatCoil-25,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,3636.15,3636.15,0.18174,-99996,-99996,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys5-3,CorridorFlr3 Thermal Zone,18459.738,18459.738,0.92264,-99996,-99996,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,3059.45,3059.45,0.15291,-99996,-99996,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,1945.675,1945.675,0.09725,-99996,-99996,,,
BaseVAVReheatCoil-22,BaseVAVBox CoilHtg-22,HotWater,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,3707.188,3707.188,0.18529,-99996,-99996,,,
